"Time","Goodput","Average Delay","# of consumers"
2022-11-14 19:19:17,44.167 Gb/s,0.268 ms,
2022-11-14 19:19:18,43.689 Gb/s,0.305 ms,
2022-11-14 19:19:19,40.910 Gb/s,0.318 ms,
2022-11-14 19:19:20,45.226 Gb/s,0.298 ms,9
2022-11-14 19:19:21,44.707 Gb/s,0.299 ms,
2022-11-14 19:19:22,45.928 Gb/s,0.318 ms,
2022-11-14 19:19:23,44.690 Gb/s,0.333 ms,
2022-11-14 19:19:24,43.473 Gb/s,0.299 ms,
2022-11-14 19:19:25,47.920 Gb/s,0.352 ms,
2022-11-14 19:19:26,40.208 Gb/s,0.343 ms,
2022-11-14 19:19:27,43.979 Gb/s,0.351 ms,
2022-11-14 19:19:28,41.046 Gb/s,0.332 ms,
2022-11-14 19:19:29,41.835 Gb/s,0.326 ms,
2022-11-14 19:19:30,40.061 Gb/s,0.431 ms,9
2022-11-14 19:19:31,43.768 Gb/s,0.405 ms,
2022-11-14 19:19:32,39.021 Gb/s,0.341 ms,
2022-11-14 19:19:33,41.439 Gb/s,0.361 ms,
2022-11-14 19:19:34,40.016 Gb/s,0.303 ms,
2022-11-14 19:19:35,40.875 Gb/s,0.353 ms,
2022-11-14 19:19:36,41.685 Gb/s,0.346 ms,
2022-11-14 19:19:37,39.720 Gb/s,0.399 ms,
2022-11-14 19:19:38,40.684 Gb/s,0.383 ms,
2022-11-14 19:19:39,39.123 Gb/s,0.361 ms,
2022-11-14 19:19:40,31.659 Gb/s,0.442 ms,8
2022-11-14 19:19:41,29.722 Gb/s,0.465 ms,
2022-11-14 19:19:42,29.990 Gb/s,0.463 ms,
2022-11-14 19:19:43,30.702 Gb/s,0.535 ms,
2022-11-14 19:19:44,28.842 Gb/s,0.394 ms,
2022-11-14 19:19:45,25.162 Gb/s,0.382 ms,
2022-11-14 19:19:46,27.008 Gb/s,0.364 ms,
2022-11-14 19:19:47,25.077 Gb/s,0.333 ms,
2022-11-14 19:19:48,26.105 Gb/s,0.309 ms,
2022-11-14 19:19:49,22.960 Gb/s,0.182 ms,
2022-11-14 19:19:50,25.094 Gb/s,0.161 ms,5
2022-11-14 19:19:51,25.248 Gb/s,0.140 ms,
2022-11-14 19:19:52,24.265 Gb/s,0.164 ms,
2022-11-14 19:19:53,21.803 Gb/s,0.173 ms,
2022-11-14 19:19:54,25.211 Gb/s,0.156 ms,
2022-11-14 19:19:55,22.816 Gb/s,0.168 ms,
2022-11-14 19:19:56,25.536 Gb/s,0.155 ms,
2022-11-14 19:19:57,24.790 Gb/s,0.165 ms,
2022-11-14 19:19:58,15.854 Gb/s,0.225 ms,
2022-11-14 19:19:59,12.153 Gb/s,0.315 ms,
2022-11-14 19:20:00,13.148 Gb/s,0.273 ms,3
2022-11-14 19:20:01,12.132 Gb/s,0.310 ms,
2022-11-14 19:20:02,11.190 Gb/s,0.317 ms,
2022-11-14 19:20:03,13.276 Gb/s,0.288 ms,
2022-11-14 19:20:04,11.687 Gb/s,0.321 ms,
2022-11-14 19:20:05,11.054 Gb/s,0.320 ms,
2022-11-14 19:20:06,12.280 Gb/s,0.321 ms,
2022-11-14 19:20:07,13.030 Gb/s,0.267 ms,
2022-11-14 19:20:08,13.355 Gb/s,0.294 ms,
2022-11-14 19:20:09,8.970 Gb/s,0.407 ms,
2022-11-14 19:20:10,7.177 Gb/s,0.508 ms,2
2022-11-14 19:20:11,6.857 Gb/s,0.506 ms,
2022-11-14 19:20:12,3.303 Gb/s,0.000 ms,
2022-11-14 19:20:13,3.582 Gb/s,0.000 ms,
2022-11-14 19:20:14,4.289 Gb/s,0.000 ms,
2022-11-14 19:20:15,5.043 Gb/s,0.000 ms,
2022-11-14 19:20:16,3.149 Gb/s,0.000 ms,
2022-11-14 19:20:17,3.527 Gb/s,0.000 ms,
2022-11-14 19:20:18,3.945 Gb/s,0.000 ms,
2022-11-14 19:20:19,5.121 Gb/s,0.000 ms,
2022-11-14 19:20:20,3.824 Gb/s,0.000 ms,1
2022-11-14 19:20:21,3.649 Gb/s,0.000 ms,
2022-11-14 19:20:22,3.416 Gb/s,0.000 ms,
2022-11-14 19:20:23,3.362 Gb/s,0.000 ms,
2022-11-14 19:20:24,3.663 Gb/s,0.000 ms,
2022-11-14 19:20:25,3.176 Gb/s,0.000 ms,
2022-11-14 19:20:26,3.446 Gb/s,0.000 ms,
2022-11-14 19:20:27,3.416 Gb/s,0.000 ms,
2022-11-14 19:20:28,3.248 Gb/s,0.000 ms,
2022-11-14 19:20:29,3.579 Gb/s,0.000 ms,
2022-11-14 19:20:30,3.215 Gb/s,0.000 ms,1
2022-11-14 19:20:31,3.520 Gb/s,0.000 ms,
2022-11-14 19:20:32,3.549 Gb/s,0.000 ms,
2022-11-14 19:20:33,3.250 Gb/s,0.000 ms,
2022-11-14 19:20:34,3.453 Gb/s,0.000 ms,
2022-11-14 19:20:35,3.239 Gb/s,0.000 ms,
2022-11-14 19:20:36,3.657 Gb/s,0.000 ms,
2022-11-14 19:20:37,3.547 Gb/s,0.000 ms,
2022-11-14 19:20:38,3.353 Gb/s,0.000 ms,
2022-11-14 19:20:39,3.593 Gb/s,0.000 ms,
2022-11-14 19:20:40,3.213 Gb/s,0.000 ms,1
2022-11-14 19:20:41,3.662 Gb/s,0.000 ms,
2022-11-14 19:20:42,3.479 Gb/s,0.000 ms,
2022-11-14 19:20:43,3.333 Gb/s,0.000 ms,
2022-11-14 19:20:44,3.557 Gb/s,0.000 ms,
2022-11-14 19:20:45,3.136 Gb/s,0.000 ms,
2022-11-14 19:20:46,3.457 Gb/s,0.000 ms,
2022-11-14 19:20:47,3.410 Gb/s,0.000 ms,
2022-11-14 19:20:48,3.166 Gb/s,0.000 ms,
2022-11-14 19:20:49,3.489 Gb/s,0.000 ms,
2022-11-14 19:20:50,3.320 Gb/s,0.000 ms,1
2022-11-14 19:20:51,3.543 Gb/s,0.000 ms,
2022-11-14 19:20:52,3.524 Gb/s,0.000 ms,
2022-11-14 19:20:53,3.286 Gb/s,0.000 ms,
2022-11-14 19:20:54,3.632 Gb/s,0.000 ms,
2022-11-14 19:20:55,3.330 Gb/s,0.000 ms,
2022-11-14 19:20:56,3.495 Gb/s,0.000 ms,
2022-11-14 19:20:57,3.437 Gb/s,0.000 ms,
2022-11-14 19:20:58,3.185 Gb/s,0.000 ms,
2022-11-14 19:20:59,3.493 Gb/s,0.000 ms,
2022-11-14 19:21:00,1.626 Gb/s,0.000 ms,1
2022-11-14 19:41:20,,,16
2022-11-14 19:41:25,17.094 Gb/s,11.758 ms,
2022-11-14 19:41:26,78.693 Gb/s,2.678 ms,
2022-11-14 19:41:27,68.026 Gb/s,1.219 ms,
2022-11-14 19:41:28,76.517 Gb/s,0.855 ms,
2022-11-14 19:41:29,71.228 Gb/s,0.663 ms,
2022-11-14 19:41:30,66.415 Gb/s,0.641 ms,16
2022-11-14 19:41:31,67.588 Gb/s,0.583 ms,
2022-11-14 19:41:32,69.030 Gb/s,0.582 ms,
2022-11-14 19:41:33,72.022 Gb/s,0.587 ms,
2022-11-14 19:41:34,74.004 Gb/s,0.586 ms,
2022-11-14 19:41:35,73.524 Gb/s,0.578 ms,
2022-11-14 19:41:36,76.007 Gb/s,0.478 ms,
2022-11-14 19:41:37,76.597 Gb/s,0.445 ms,
2022-11-14 19:41:38,74.236 Gb/s,0.411 ms,
2022-11-14 19:41:39,75.675 Gb/s,0.450 ms,
2022-11-14 19:41:40,74.743 Gb/s,0.492 ms,16
2022-11-14 19:41:41,74.435 Gb/s,0.511 ms,
2022-11-14 19:41:42,77.015 Gb/s,0.509 ms,
2022-11-14 19:41:43,74.906 Gb/s,0.554 ms,
2022-11-14 19:41:44,78.310 Gb/s,0.567 ms,
2022-11-14 19:41:45,76.551 Gb/s,0.605 ms,
2022-11-14 19:41:46,70.736 Gb/s,0.569 ms,
2022-11-14 19:41:47,74.426 Gb/s,0.580 ms,
2022-11-14 19:41:48,75.977 Gb/s,0.578 ms,
2022-11-14 19:41:49,73.101 Gb/s,0.546 ms,
2022-11-14 19:41:50,73.353 Gb/s,0.521 ms,16
2022-11-14 19:41:51,75.029 Gb/s,0.550 ms,
2022-11-14 19:41:52,73.805 Gb/s,0.530 ms,
2022-11-14 19:41:53,78.986 Gb/s,0.431 ms,
2022-11-14 19:41:54,76.431 Gb/s,0.450 ms,
2022-11-14 19:41:55,77.780 Gb/s,0.432 ms,
2022-11-14 19:41:56,72.204 Gb/s,0.460 ms,
2022-11-14 19:41:57,85.081 Gb/s,0.457 ms,
2022-11-14 19:41:58,80.626 Gb/s,0.489 ms,
2022-11-14 19:41:59,71.314 Gb/s,0.409 ms,
2022-11-14 19:42:00,79.064 Gb/s,0.497 ms,16
2022-11-14 19:42:01,78.180 Gb/s,0.413 ms,
2022-11-14 19:42:02,73.789 Gb/s,0.381 ms,
2022-11-14 19:42:03,78.331 Gb/s,0.375 ms,
2022-11-14 19:42:04,78.788 Gb/s,0.405 ms,
2022-11-14 19:42:05,76.998 Gb/s,0.401 ms,
2022-11-14 19:42:06,82.666 Gb/s,0.393 ms,
2022-11-14 19:42:07,76.797 Gb/s,0.396 ms,
2022-11-14 19:42:08,75.407 Gb/s,0.386 ms,
2022-11-14 19:42:09,78.205 Gb/s,0.400 ms,
2022-11-14 19:42:10,84.066 Gb/s,0.418 ms,16
2022-11-14 19:42:11,78.701 Gb/s,0.417 ms,
2022-11-14 19:42:12,78.481 Gb/s,0.400 ms,
2022-11-14 19:42:13,75.804 Gb/s,0.406 ms,
2022-11-14 19:42:14,74.140 Gb/s,0.385 ms,
2022-11-14 19:42:15,75.920 Gb/s,0.397 ms,
2022-11-14 19:42:16,69.488 Gb/s,0.342 ms,
2022-11-14 19:42:17,75.984 Gb/s,0.352 ms,
2022-11-14 19:42:18,76.651 Gb/s,0.311 ms,
2022-11-14 19:42:19,79.552 Gb/s,0.330 ms,
2022-11-14 19:42:20,81.436 Gb/s,0.309 ms,16
2022-11-14 19:42:21,79.397 Gb/s,0.352 ms,
2022-11-14 19:42:22,73.082 Gb/s,0.349 ms,
2022-11-14 19:42:23,76.605 Gb/s,0.313 ms,
2022-11-14 19:42:24,77.420 Gb/s,0.285 ms,
2022-11-14 19:42:25,78.055 Gb/s,0.275 ms,
2022-11-14 19:42:26,74.546 Gb/s,0.302 ms,
2022-11-14 19:42:27,75.749 Gb/s,0.321 ms,
2022-11-14 19:42:28,73.250 Gb/s,0.306 ms,
2022-11-14 19:42:29,77.647 Gb/s,0.297 ms,
2022-11-14 19:42:30,72.517 Gb/s,0.331 ms,16
2022-11-14 19:42:31,78.302 Gb/s,0.402 ms,
2022-11-14 19:42:32,77.023 Gb/s,0.394 ms,
2022-11-14 19:42:33,75.932 Gb/s,0.414 ms,
2022-11-14 19:42:34,71.014 Gb/s,0.447 ms,
2022-11-14 19:42:35,77.464 Gb/s,0.423 ms,
2022-11-14 19:42:36,76.070 Gb/s,0.387 ms,
2022-11-14 19:42:37,75.985 Gb/s,0.355 ms,
2022-11-14 19:42:38,76.953 Gb/s,0.364 ms,
2022-11-14 19:42:39,76.674 Gb/s,0.355 ms,
2022-11-14 19:42:40,79.490 Gb/s,0.333 ms,16
2022-11-14 19:42:41,71.722 Gb/s,0.396 ms,
2022-11-14 19:42:42,79.645 Gb/s,0.339 ms,
2022-11-14 19:42:43,75.790 Gb/s,0.428 ms,
2022-11-14 19:42:44,77.727 Gb/s,0.461 ms,
2022-11-14 19:42:45,81.599 Gb/s,0.480 ms,
2022-11-14 19:42:46,78.394 Gb/s,0.400 ms,
2022-11-14 19:42:47,78.693 Gb/s,0.354 ms,
2022-11-14 19:42:48,74.475 Gb/s,0.370 ms,
2022-11-14 19:42:49,78.876 Gb/s,0.391 ms,
2022-11-14 19:42:50,83.131 Gb/s,0.338 ms,16
2022-11-14 19:42:51,81.859 Gb/s,0.360 ms,
2022-11-14 19:42:52,73.375 Gb/s,0.358 ms,
2022-11-14 19:42:53,77.903 Gb/s,0.388 ms,
2022-11-14 19:42:54,76.630 Gb/s,0.439 ms,
2022-11-14 19:42:55,73.379 Gb/s,0.393 ms,
2022-11-14 19:42:56,71.576 Gb/s,0.423 ms,
2022-11-14 19:42:57,75.061 Gb/s,0.413 ms,
2022-11-14 19:42:58,72.301 Gb/s,0.416 ms,
2022-11-14 19:42:59,70.985 Gb/s,0.377 ms,
2022-11-14 19:43:00,73.088 Gb/s,0.384 ms,16
2022-11-14 19:43:01,76.036 Gb/s,0.407 ms,
2022-11-14 19:43:02,78.316 Gb/s,0.415 ms,
2022-11-14 19:43:03,76.256 Gb/s,0.378 ms,
2022-11-14 19:43:04,80.651 Gb/s,0.378 ms,
2022-11-14 19:43:05,76.086 Gb/s,0.419 ms,
2022-11-14 19:43:06,77.437 Gb/s,0.413 ms,
2022-11-14 19:43:07,80.065 Gb/s,0.370 ms,
2022-11-14 19:43:08,82.247 Gb/s,0.360 ms,
2022-11-14 19:43:09,79.146 Gb/s,0.339 ms,
2022-11-14 19:43:10,74.929 Gb/s,0.337 ms,16
2022-11-14 19:43:11,70.800 Gb/s,0.356 ms,
2022-11-14 19:43:12,74.054 Gb/s,0.339 ms,
2022-11-14 19:43:13,73.743 Gb/s,0.334 ms,
2022-11-14 19:43:14,73.926 Gb/s,0.351 ms,
2022-11-14 19:43:15,77.745 Gb/s,0.342 ms,
2022-11-14 19:43:16,79.633 Gb/s,0.330 ms,
2022-11-14 19:43:17,79.087 Gb/s,0.317 ms,
2022-11-14 19:43:18,76.738 Gb/s,0.323 ms,
2022-11-14 19:43:19,75.891 Gb/s,0.327 ms,
2022-11-14 19:43:20,74.097 Gb/s,0.324 ms,16
2022-11-14 19:43:21,82.150 Gb/s,0.363 ms,
2022-11-14 19:43:22,79.805 Gb/s,0.321 ms,
2022-11-14 19:43:23,78.368 Gb/s,0.317 ms,
2022-11-14 19:43:24,78.329 Gb/s,0.306 ms,
2022-11-14 19:43:25,76.370 Gb/s,0.287 ms,
2022-11-14 19:43:26,73.538 Gb/s,0.326 ms,
2022-11-14 19:43:27,75.440 Gb/s,0.333 ms,
2022-11-14 19:43:28,82.344 Gb/s,0.314 ms,
2022-11-14 19:43:29,72.583 Gb/s,0.328 ms,
2022-11-14 19:43:30,72.610 Gb/s,0.357 ms,16
2022-11-14 19:43:31,73.257 Gb/s,0.468 ms,
2022-11-14 19:43:32,77.979 Gb/s,0.424 ms,
2022-11-14 19:43:33,73.626 Gb/s,0.391 ms,
2022-11-14 19:43:34,75.171 Gb/s,0.448 ms,
2022-11-14 19:43:35,74.687 Gb/s,0.456 ms,
2022-11-14 19:43:36,74.734 Gb/s,0.466 ms,
2022-11-14 19:43:37,73.544 Gb/s,0.413 ms,
2022-11-14 19:43:38,71.002 Gb/s,0.503 ms,
2022-11-14 19:43:39,76.765 Gb/s,0.463 ms,
2022-11-14 19:43:40,70.969 Gb/s,0.442 ms,16
2022-11-14 19:43:41,75.785 Gb/s,0.436 ms,
2022-11-14 19:43:42,75.408 Gb/s,0.471 ms,
2022-11-14 19:43:43,76.510 Gb/s,0.460 ms,
2022-11-14 19:43:44,75.391 Gb/s,0.489 ms,
2022-11-14 19:43:45,78.679 Gb/s,0.476 ms,
2022-11-14 19:43:46,83.310 Gb/s,0.469 ms,
2022-11-14 19:43:47,78.060 Gb/s,0.453 ms,
2022-11-14 19:43:48,79.198 Gb/s,0.507 ms,
2022-11-14 19:43:49,76.499 Gb/s,0.463 ms,
2022-11-14 19:43:50,76.040 Gb/s,0.443 ms,16
2022-11-14 19:43:51,82.564 Gb/s,0.450 ms,
2022-11-14 19:43:52,83.509 Gb/s,0.515 ms,
2022-11-14 19:43:53,77.034 Gb/s,0.488 ms,
2022-11-14 19:43:54,77.549 Gb/s,0.496 ms,
2022-11-14 19:43:55,72.888 Gb/s,0.437 ms,
2022-11-14 19:43:56,78.525 Gb/s,0.438 ms,
2022-11-14 19:43:57,71.631 Gb/s,0.460 ms,
2022-11-14 19:43:58,74.627 Gb/s,0.448 ms,
2022-11-14 19:43:59,73.307 Gb/s,0.436 ms,
2022-11-14 19:44:00,74.166 Gb/s,0.517 ms,16
2022-11-14 19:44:01,71.399 Gb/s,0.448 ms,
2022-11-14 19:44:02,73.200 Gb/s,0.499 ms,
2022-11-14 19:44:03,81.644 Gb/s,0.456 ms,
2022-11-14 19:44:04,81.230 Gb/s,0.466 ms,
2022-11-14 19:44:05,76.286 Gb/s,0.482 ms,
2022-11-14 19:44:06,81.070 Gb/s,0.519 ms,
2022-11-14 19:44:07,78.904 Gb/s,0.456 ms,
2022-11-14 19:44:08,76.899 Gb/s,0.454 ms,
2022-11-14 19:44:09,71.908 Gb/s,0.442 ms,
2022-11-14 19:44:10,72.746 Gb/s,0.441 ms,16
2022-11-14 19:44:11,79.776 Gb/s,0.410 ms,
2022-11-14 19:44:12,75.373 Gb/s,0.450 ms,
2022-11-14 19:44:13,76.929 Gb/s,0.461 ms,
2022-11-14 19:44:14,74.857 Gb/s,0.457 ms,
2022-11-14 19:44:15,74.416 Gb/s,0.426 ms,
2022-11-14 19:44:16,72.681 Gb/s,0.435 ms,
2022-11-14 19:44:17,80.659 Gb/s,0.423 ms,
2022-11-14 19:44:18,79.351 Gb/s,0.408 ms,
2022-11-14 19:44:19,78.578 Gb/s,0.347 ms,
2022-11-14 19:44:20,74.693 Gb/s,0.437 ms,16
2022-11-14 19:44:21,74.679 Gb/s,0.404 ms,
2022-11-14 19:44:22,70.527 Gb/s,0.441 ms,
2022-11-14 19:44:23,74.485 Gb/s,0.480 ms,
2022-11-14 19:44:24,73.786 Gb/s,0.494 ms,
2022-11-14 19:44:25,78.453 Gb/s,0.411 ms,
2022-11-14 19:44:26,75.765 Gb/s,0.401 ms,
2022-11-14 19:44:27,75.717 Gb/s,0.389 ms,
2022-11-14 19:44:28,75.173 Gb/s,0.371 ms,
2022-11-14 19:44:29,79.495 Gb/s,0.377 ms,
2022-11-14 19:44:30,73.563 Gb/s,0.407 ms,16
2022-11-14 19:44:31,73.152 Gb/s,0.362 ms,
2022-11-14 19:44:32,73.390 Gb/s,0.460 ms,
2022-11-14 19:44:33,77.859 Gb/s,0.400 ms,
2022-11-14 19:44:34,76.979 Gb/s,0.401 ms,
2022-11-14 19:44:35,83.258 Gb/s,0.405 ms,
2022-11-14 19:44:36,77.452 Gb/s,0.434 ms,
2022-11-14 19:44:37,71.674 Gb/s,0.449 ms,
2022-11-14 19:44:38,70.340 Gb/s,0.467 ms,
2022-11-14 19:44:39,74.425 Gb/s,0.462 ms,
2022-11-14 19:44:40,75.241 Gb/s,0.469 ms,16
2022-11-14 19:44:41,78.644 Gb/s,0.452 ms,
2022-11-14 19:44:42,76.042 Gb/s,0.421 ms,
2022-11-14 19:44:43,78.730 Gb/s,0.434 ms,
2022-11-14 19:44:44,78.234 Gb/s,0.426 ms,
2022-11-14 19:44:45,78.363 Gb/s,0.398 ms,
2022-11-14 19:44:46,78.639 Gb/s,0.469 ms,
2022-11-14 19:44:47,72.316 Gb/s,0.413 ms,
2022-11-14 19:44:48,74.709 Gb/s,0.426 ms,
2022-11-14 19:44:49,73.665 Gb/s,0.461 ms,
2022-11-14 19:44:50,72.456 Gb/s,0.461 ms,16
2022-11-14 19:44:51,76.138 Gb/s,0.439 ms,
2022-11-14 19:44:52,76.658 Gb/s,0.393 ms,
2022-11-14 19:44:53,81.532 Gb/s,0.477 ms,
2022-11-14 19:44:54,76.740 Gb/s,0.441 ms,
2022-11-14 19:44:55,73.048 Gb/s,0.446 ms,
2022-11-14 19:44:56,71.441 Gb/s,0.433 ms,
2022-11-14 19:44:57,73.736 Gb/s,0.469 ms,
2022-11-14 19:44:58,73.348 Gb/s,0.390 ms,
2022-11-14 19:44:59,72.794 Gb/s,0.365 ms,
2022-11-14 19:45:00,75.625 Gb/s,0.387 ms,16
2022-11-14 19:45:01,76.280 Gb/s,0.360 ms,
2022-11-14 19:45:02,78.900 Gb/s,0.396 ms,
2022-11-14 19:45:03,80.593 Gb/s,0.400 ms,
2022-11-14 19:45:04,74.719 Gb/s,0.412 ms,
2022-11-14 19:45:05,73.805 Gb/s,0.371 ms,
2022-11-14 19:45:06,79.101 Gb/s,0.366 ms,
2022-11-14 19:45:07,77.758 Gb/s,0.400 ms,
2022-11-14 19:45:08,81.883 Gb/s,0.366 ms,
2022-11-14 19:45:09,79.732 Gb/s,0.359 ms,
2022-11-14 19:45:10,77.370 Gb/s,0.389 ms,16
2022-11-14 19:45:11,79.358 Gb/s,0.381 ms,
2022-11-14 19:45:12,79.280 Gb/s,0.398 ms,
2022-11-14 19:45:13,73.572 Gb/s,0.357 ms,
2022-11-14 19:45:14,76.685 Gb/s,0.389 ms,
2022-11-14 19:45:15,78.026 Gb/s,0.356 ms,
2022-11-14 19:45:16,73.458 Gb/s,0.397 ms,
2022-11-14 19:45:17,76.815 Gb/s,0.367 ms,
2022-11-14 19:45:18,80.775 Gb/s,0.374 ms,
2022-11-14 19:45:19,71.331 Gb/s,0.376 ms,
2022-11-14 19:45:20,78.552 Gb/s,0.399 ms,16
2022-11-14 19:45:21,82.271 Gb/s,0.411 ms,
2022-11-14 19:45:22,78.664 Gb/s,0.389 ms,
2022-11-14 19:45:23,74.916 Gb/s,0.365 ms,
2022-11-14 19:45:24,73.718 Gb/s,0.376 ms,
2022-11-14 19:45:25,76.013 Gb/s,0.392 ms,
2022-11-14 19:45:26,79.617 Gb/s,0.357 ms,
2022-11-14 19:45:27,74.421 Gb/s,0.337 ms,
2022-11-14 19:45:28,73.160 Gb/s,0.353 ms,
2022-11-14 19:45:29,71.744 Gb/s,0.349 ms,
2022-11-14 19:45:30,66.397 Gb/s,0.345 ms,16
2022-11-14 19:45:31,73.612 Gb/s,0.339 ms,
2022-11-14 19:45:32,75.263 Gb/s,0.340 ms,
2022-11-14 19:45:33,79.086 Gb/s,0.328 ms,
2022-11-14 19:45:34,72.782 Gb/s,0.335 ms,
2022-11-14 19:45:35,75.922 Gb/s,0.337 ms,
2022-11-14 19:45:36,83.035 Gb/s,0.288 ms,
2022-11-14 19:45:37,80.284 Gb/s,0.319 ms,
2022-11-14 19:45:38,78.331 Gb/s,0.373 ms,
2022-11-14 19:45:39,78.193 Gb/s,0.360 ms,
2022-11-14 19:45:40,76.203 Gb/s,0.308 ms,16
2022-11-14 19:45:41,77.301 Gb/s,0.309 ms,
2022-11-14 19:45:42,78.010 Gb/s,0.353 ms,
2022-11-14 19:45:43,76.982 Gb/s,0.296 ms,
2022-11-14 19:45:44,76.250 Gb/s,0.311 ms,
2022-11-14 19:45:45,74.870 Gb/s,0.293 ms,
2022-11-14 19:45:46,80.651 Gb/s,0.257 ms,
2022-11-14 19:45:47,78.364 Gb/s,0.311 ms,
2022-11-14 19:45:48,76.358 Gb/s,0.328 ms,
2022-11-14 19:45:49,76.336 Gb/s,0.349 ms,
2022-11-14 19:45:50,77.327 Gb/s,0.319 ms,16
2022-11-14 19:45:51,71.945 Gb/s,0.306 ms,
2022-11-14 19:45:52,78.125 Gb/s,0.323 ms,
2022-11-14 19:45:53,77.806 Gb/s,0.317 ms,
2022-11-14 19:45:54,75.931 Gb/s,0.315 ms,
2022-11-14 19:45:55,78.809 Gb/s,0.364 ms,
2022-11-14 19:45:56,76.217 Gb/s,0.365 ms,
2022-11-14 19:45:57,74.830 Gb/s,0.330 ms,
2022-11-14 19:45:58,83.222 Gb/s,0.347 ms,
2022-11-14 19:45:59,77.591 Gb/s,0.370 ms,
2022-11-14 19:46:00,75.859 Gb/s,0.356 ms,16
2022-11-14 19:46:01,81.638 Gb/s,0.307 ms,
2022-11-14 19:46:02,75.155 Gb/s,0.347 ms,
2022-11-14 19:46:03,78.511 Gb/s,0.298 ms,
2022-11-14 19:46:04,78.033 Gb/s,0.318 ms,
2022-11-14 19:46:05,74.385 Gb/s,0.356 ms,
2022-11-14 19:46:06,76.704 Gb/s,0.325 ms,
2022-11-14 19:46:07,72.834 Gb/s,0.344 ms,
2022-11-14 19:46:08,78.833 Gb/s,0.347 ms,
2022-11-14 19:46:09,76.390 Gb/s,0.336 ms,
2022-11-14 19:46:10,85.553 Gb/s,0.292 ms,16
2022-11-14 19:46:11,78.029 Gb/s,0.343 ms,
2022-11-14 19:46:12,72.147 Gb/s,0.317 ms,
2022-11-14 19:46:13,73.106 Gb/s,0.326 ms,
2022-11-14 19:46:14,75.506 Gb/s,0.289 ms,
2022-11-14 19:46:15,78.768 Gb/s,0.303 ms,
2022-11-14 19:46:16,76.960 Gb/s,0.313 ms,
2022-11-14 19:46:17,75.850 Gb/s,0.330 ms,
2022-11-14 19:46:18,77.462 Gb/s,0.358 ms,
2022-11-14 19:46:19,73.415 Gb/s,0.322 ms,
2022-11-14 19:46:20,76.133 Gb/s,0.373 ms,16
2022-11-14 19:46:21,80.905 Gb/s,0.365 ms,
2022-11-14 19:46:22,79.611 Gb/s,0.318 ms,
2022-11-14 19:46:23,77.797 Gb/s,0.372 ms,
2022-11-14 19:46:24,78.587 Gb/s,0.348 ms,
2022-11-14 19:46:25,78.270 Gb/s,0.339 ms,
2022-11-14 19:46:26,68.580 Gb/s,0.314 ms,
2022-11-14 19:46:27,73.550 Gb/s,0.311 ms,
2022-11-14 19:46:28,68.700 Gb/s,0.327 ms,
2022-11-14 19:46:29,68.781 Gb/s,0.348 ms,
2022-11-14 19:46:30,67.786 Gb/s,0.331 ms,16
2022-11-14 19:46:31,77.379 Gb/s,0.319 ms,
2022-11-14 19:46:32,73.753 Gb/s,0.379 ms,
2022-11-14 19:46:33,69.679 Gb/s,0.342 ms,
2022-11-14 19:46:34,74.915 Gb/s,0.337 ms,
2022-11-14 19:46:35,72.735 Gb/s,0.320 ms,
2022-11-14 19:46:36,76.323 Gb/s,0.348 ms,
2022-11-14 19:46:37,75.853 Gb/s,0.328 ms,
2022-11-14 19:46:38,77.835 Gb/s,0.328 ms,
2022-11-14 19:46:39,75.494 Gb/s,0.379 ms,
2022-11-14 19:46:40,72.768 Gb/s,0.344 ms,16
2022-11-14 19:46:41,65.584 Gb/s,0.334 ms,
2022-11-14 19:46:42,73.696 Gb/s,0.331 ms,
2022-11-14 19:46:43,80.557 Gb/s,0.333 ms,
2022-11-14 19:46:44,76.090 Gb/s,0.343 ms,
2022-11-14 19:46:45,77.813 Gb/s,0.324 ms,
2022-11-14 19:46:46,75.610 Gb/s,0.373 ms,
2022-11-14 19:46:47,69.886 Gb/s,0.324 ms,
2022-11-14 19:46:48,73.318 Gb/s,0.314 ms,
2022-11-14 19:46:49,76.998 Gb/s,0.326 ms,
2022-11-14 19:46:50,71.277 Gb/s,0.316 ms,16
2022-11-14 19:46:51,76.318 Gb/s,0.339 ms,
2022-11-14 19:46:52,74.718 Gb/s,0.335 ms,
2022-11-14 19:46:53,81.092 Gb/s,0.390 ms,
2022-11-14 19:46:54,74.564 Gb/s,0.322 ms,
2022-11-14 19:46:55,74.236 Gb/s,0.382 ms,
2022-11-14 19:46:56,70.577 Gb/s,0.327 ms,
2022-11-14 19:46:57,74.892 Gb/s,0.338 ms,
2022-11-14 19:46:58,75.053 Gb/s,0.344 ms,
2022-11-14 19:46:59,72.803 Gb/s,0.372 ms,
2022-11-14 19:47:00,70.927 Gb/s,0.363 ms,16
2022-11-14 19:47:01,73.810 Gb/s,0.330 ms,
2022-11-14 19:47:02,74.176 Gb/s,0.344 ms,
2022-11-14 19:47:03,71.306 Gb/s,0.335 ms,
2022-11-14 19:47:04,75.984 Gb/s,0.374 ms,
2022-11-14 19:47:05,71.551 Gb/s,0.338 ms,
2022-11-14 19:47:06,73.948 Gb/s,0.342 ms,
2022-11-14 19:47:07,75.268 Gb/s,0.350 ms,
2022-11-14 19:47:08,74.267 Gb/s,0.342 ms,
