name,time,mean_Bytes,mean_Data,mean_GoodPut,mean_Interest,mean_Throughput,mean_Time
sandie-sc19,2019-11-19T11:03:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:03:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:03:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:03:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:04:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:04:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:04:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:04:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:04:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:04:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:05:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:05:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:05:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:05:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:05:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:05:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:06:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:06:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:06:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:06:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:06:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:06:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:07:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:07:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:07:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:07:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:07:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:07:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:08:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:08:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:08:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:08:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:08:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:08:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:09:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:09:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:09:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:09:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:09:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:09:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:10:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:10:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:10:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:10:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:10:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:10:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:11:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:11:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:11:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:11:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:11:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:11:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:12:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:12:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:12:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:12:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:12:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:12:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:13:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:13:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:13:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:13:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:13:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:13:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:14:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:14:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:14:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:14:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:14:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:14:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:15:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:15:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:15:20Z,0,0,0,0,0,0
