name,time,mean_Bytes,mean_Data,mean_GoodPut,mean_Interest,mean_Lost,mean_Throughput,mean_Time
sc19_vip,2019-11-20T21:30:40Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:30:45Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:30:50Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:30:55Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:31:00Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:31:05Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:31:10Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:31:15Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:31:20Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:31:25Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:31:30Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:31:35Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:31:40Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:31:45Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:31:50Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:31:55Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:32:00Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:32:05Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:32:10Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:32:15Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:32:20Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:32:25Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:32:30Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:32:35Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:32:40Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:32:45Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:32:50Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:32:55Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:33:00Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:33:05Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:33:10Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:33:15Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:33:20Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:33:25Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:33:30Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:33:35Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:33:40Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:33:45Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:33:50Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:33:55Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:34:00Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:34:05Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:34:10Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:34:15Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:34:20Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:34:25Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:34:30Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:34:35Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:34:40Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:34:45Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:34:50Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:34:55Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:35:00Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:35:05Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:35:10Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:35:15Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:35:20Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:35:25Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:35:30Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:35:35Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:35:40Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:35:45Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:35:50Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:35:55Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:36:00Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:36:05Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:36:10Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:36:15Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:36:20Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:36:25Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:36:30Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:36:35Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:36:40Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:36:45Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:36:50Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:36:55Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:37:00Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:37:05Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:37:10Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:37:15Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:37:20Z,0,0,0,0,0,0,0
